2,4-ດີອີເອສ	2,4-滴乙基硫酸钠
ກອກຢາສູບ	嚼烟
ກອກຢາສູບ	烟草
ກອກຢາສູບ	雪茄烟
ກອກຢາສູບ	鼻烟
ກອງ	堂鼓
ກອງ	鼓
ກອງທັບ	军队
ກອງທັບ	陆军
ກອງທັບບົກ	军队
ກອງທັບບົກ	陆军
ກອງທັບອາກາດ	空军
ກອງທັບເຮືອ	大商船
ກອງທັບເຮືອ	夹克
ກອງທັບເຮືອ	水兵
ກອງທັບເຮືອ	海产的
ກອງທັບເຮືອ	海军
ກອງທັບເຮືອ	海军士兵队
ກອງທັບເຮືອ	海军部
ກອງທັບເຮືອ	海里
ກອງທັບເຮືອ	海军陆战队
ກອງທັບເຮືອ	海运的
ກອງທັບເຮືອ	深蓝
ກອງທັບເຮືອ	深蓝色
ກອງທັບເຮືອ	舰队
ກອງທັບເຮືອ	藏青色
ກອງທັບເຮືອ	袄
ກອງທັບເຮືອ	军队
ກອງທັບເຮືອ	陆军
ກອງທັບເຮືອ	陆战队
ກອງທຶນການເງິນລະຫວ່າງປະເທດ	国际货币基金会
ກອງທຶນເພື່ອເດັກນ້ອຍຂອງສະຫະປະຊາຊາດ	联合国儿童基金会
ກອງທ່ອນໄມ້ໃຊ້ສໍາລັບປູກເຫັດ	养菇原木
ກອງບຸນ	会演
ກອງບຸນ	汇演
ກອງບຸນ	节
ກອງບຸນ	节庆
ກອງບຸນ	节日
ກອງປະຊຸມ	会议
ກອງປະຊຸມໃຫຍ່ສະຫະປະຊາຊາດກ່ຽວກັບການຄ້າແລະການພັດທະນາ	联合国贸易与发展会议
ກອນ	诗
ກອນ	诗歌
ກອນ	诗篇
ກະກູກສົ້ນຫນ່ອງ	尺骨
ກະກູກສົ້ນຫນ່ອງ	掌骨
ກະກູກສົ້ນຫນ່ອງ	桡骨
ກະກູກສົ້ນຫນ່ອງ	股骨
ກະກູກສົ້ນຫນ່ອງ	肢骨
ກະກູກສົ້ນຫນ່ອງ	肩胛
ກະກູກສົ້ນຫນ່ອງ	肩胛骨
ກະກູກສົ້ນຫນ່ອງ	肱骨
ກະກູກສົ້ນຫນ່ອງ	胫骨
ກະກູກສົ້ນຫນ່ອງ	脚趾
ກະກູກສົ້ນຫນ່ອງ	腓骨
ກະກູກສົ້ນຫນ່ອງ	腕骨
ກະກູກສົ້ນຫນ່ອງ	膝盖骨
ກະກູກສົ້ນຫນ່ອງ	跗骨
ກະກູກສົ້ນຫນ່ອງ	蹠骨
ກະກຽມເບື້ອງຕົ້ນ	初始化
ກະຈອມປ້ອງ	锸
ກະຈອມປ້ອງ	锹
ກະຈອມປ້ອງ	铲
ກະຈອມປ້ອງ	铲子
ກະຈອມປ້ອງ	铁锨
ກະຈອມປ້ອງ	铁锹
ກະຈາຍສຽງ	广播
ກະຈາຍສຽງ	播报
ກະຈົກ	镜子
ກະຈົກ	镜
ກະຈົວະກະຈວກ	幸福
ກະຈົວະກະຈວກ	快乐
ກະຈົວະກະຈວກ	愉快
ກະຈົວະກະຈວກ	高兴
ກະຈ້ອນ	松鼠
ກະຈ້ອນ	栗鼠
ກະຈ້ອນ	灰鼠
ກະຊັງປາ	渔笼
ກະຊິບ	叽咕
ກະຊິບ	哼唧
ກະຊິບ	唧哝
ກະຊິບ	唧唧咕咕
ກະຊິບ	嘀咕
ກະຊິບ	打喳喳
ກະຊິບ	打耳唧
ກະຊິບ	窃窃私语
ກະຊິບ	耳语
ກະຊິບ	轻声低语
ກະດັນນ້ໍາຢາງເຫຼືອງ	淋巴管
ກະດັນນ້ໍາຢາງເຫຼືອງ	淋巴系统
ກະດັນນ້ໍາຢາງເຫຼືອງ	淋巴结
ກະດັນນ້ໍາຢາງເຫຼືອງ	淋巴集结
ກະດັນນ້ໍາຢາງເຫຼືອງ	胸导管
ກະດັນປະສາດ	神经节
ກະດາດ	任务
ກະດາດ	作图纸
ກະດາດ	信
ກະດາດ	公文
ກະດາດ	卡片
ກະດາດ	文件
ກະດາດ	文档
ກະດາດ	文献
ກະດາດ	新闻用纸
ກະດາດ	新闻纸
ກະດາດ	牛皮纸
ກະດາດ	纸
ກະດາດ	纸张
ກະດາດ	纸制
ກະດາດ	纸制的
ກະດາດ	纸毡
ກະດາດແຂງ	硬纸板
ກະດາດແຂງ	纸板
ກະດານ	黑板
ກະດານຄະແນນກິລາ	运动计分牌
ກະດານຄະແນນກິລາ	运动计分板
ກະດານປະຫວັດການໃຊ້	情节提要
ກະດານປະຫວັດການໃຊ້	脚本
ກະດານໄມ້	制材
ກະດານໄມ້	劈材
ກະດານໄມ້	厚木板
ກະດານໄມ້	小方材
ກະດານໄມ້	条板
ກະດານໄມ້	板
ກະດານໄມ້	桶板材
ກະດານໄມ້	锯材
ກະດານໄມ້ອັດ	刨花板
ກະດານໄມ້ອັດ	木屑板
ກະດານໄມ້ອັດ	硬纸板
ກະດານໄມ້ອັດ	碎料板
ກະດິງ	铃
ກະດິງ	钟
ກະດຸມ	扣子
ກະດຸມ	釦子
ກະດູກ	骨
ກະດູກ	骨头
ກະດູກ	骨质
ກະດູກ	骨骼
ກະດູກກະໂພກ	坐骨
ກະດູກກະໂພກ	耻骨
ກະດູກກະໂພກ	骨盆
ກະດູກກະໂພກ	髂骨
ກະດູກກະໂຫຼກຫົວ	头骨
ກະດູກກະໂຫຼກຫົວ	颅骨
ກະດູກກົກຂາ	尺骨
ກະດູກກົກຂາ	掌骨
ກະດູກກົກຂາ	桡骨
ກະດູກກົກຂາ	股骨
ກະດູກກົກຂາ	肢骨
ກະດູກກົກຂາ	肩胛
ກະດູກກົກຂາ	肩胛骨
ກະດູກກົກຂາ	肱骨
ກະດູກກົກຂາ	胫骨
ກະດູກກົກຂາ	脚趾
ກະດູກກົກຂາ	腓骨
ກະດູກກົກຂາ	腕骨
ກະດູກກົກຂາ	膝盖骨
ກະດູກກົກຂາ	跗骨
ກະດູກກົກຂາ	蹠骨
ກະດູກກົກແຂນ	尺骨
ກະດູກກົກແຂນ	掌骨
ກະດູກກົກແຂນ	桡骨
ກະດູກກົກແຂນ	股骨
ກະດູກກົກແຂນ	肢骨
ກະດູກກົກແຂນ	肩胛
ກະດູກກົກແຂນ	肩胛骨
ກະດູກກົກແຂນ	肱骨
ກະດູກກົກແຂນ	胫骨
ກະດູກກົກແຂນ	脚趾
ກະດູກກົກແຂນ	腓骨
ກະດູກກົກແຂນ	腕骨
ກະດູກກົກແຂນ	膝盖骨
ກະດູກກົກແຂນ	跗骨
ກະດູກກົກແຂນ	蹠骨
ກະດູກກົ້ນ	坐骨
ກະດູກກົ້ນ	耻骨
ກະດູກກົ້ນ	骨盆
ກະດູກກົ້ນ	髂骨
ກະດູກກົ້ນກົບ	尾
ກະດູກກົ້ນກົບ	尾骨
ກະດູກຂ້າງ	肋骨
ກະດູກຂໍ້ມື	尺骨
ກະດູກຂໍ້ມື	掌骨
ກະດູກຂໍ້ມື	桡骨
ກະດູກຂໍ້ມື	股骨
ກະດູກຂໍ້ມື	肢骨
ກະດູກຂໍ້ມື	肩胛
ກະດູກຂໍ້ມື	肩胛骨
ກະດູກຂໍ້ມື	肱骨
ກະດູກຂໍ້ມື	胫骨
ກະດູກຂໍ້ມື	脚趾
ກະດູກຂໍ້ມື	腓骨
ກະດູກຂໍ້ມື	腕骨
ກະດູກຂໍ້ມື	膝盖骨
ກະດູກຂໍ້ມື	跗骨
ກະດູກຂໍ້ມື	蹠骨
ກະດູກຊາມ	骨盆
ກະດູກອ່ອນ	软骨
ກະດູກເອິກ	胸板
ກະດູກແຂນຂາ	肢骨
ກະດ້າງ	蘑菇
ກະດໍ	屌
ກະດໍ	阳具
ກະດໍ	阳物
ກະດໍ	阴茎
ກະດໍ	鸡巴
ກະດໍ	鸟
ກະຕ່າ	篮子
ກະຕ່າຂີ້ເຫຍື້ອ	回收站
ກະຕ່າຂີ້ເຫຍື້ອ	资源回收筒
ກະຕ່າຍ	兔
ກະຕ່າຍ	兔子
ກະຕ່າຍ	白兔
ກະຕ່າຍ	野兔
ກະຕ່າຍຂາວ	棉尾兔属
ກະຕ່າຍບ້ານ	兔
ກະຕ່າຍປ່າ	兔属
ກະຕໍ້	藤球
ກະຖຸນ	弹弓
ກະຖ້າງ	美洲鬣蜥
ກະທິງ	印度野牛
ກະທິງ	印度鬃犎
ກະທິງ	欧洲野牛
ກະທິງ	野牛
ກະທິງ	野黄牛
ກະທິຫມາກພ້າວ	椰子乳
ກະທໍາ	动作
ກະທໍາ	操作
ກະນານ	椰种
ກະບິນ	习俗
ກະບິນ	习惯
ກະບິນ	俗例
ກະບິນ	风俗
ກະປອມ	蜥蜴
ກະປ່ອງ	罐头
ກະມະລະ	心脏
ກະຣີນແລັນ	格陵兰岛
ກະລາ	头盖骨
ກະລາ	头骨
ກະລາ	脑壳
ກະລາ	颅骨
ກະລາມ	克
ກະລາມ	公克
ກະລຳປີ	包心菜
ກະລຳປີ	卷心菜
ກະລຳປີ	捲心菜
ກະລຳປີ	洋白菜
ກະລຳປີ	高丽菜
ກະລິດເຊ	照片
ກະລິດເຊ	相片
ກະລຸນາ	拜托
ກະລຸນາ	请
ກະລູການ	葡聚糖
ກະລູຊິດ	糖类
ກະລໍາປີໂກຣາບີ	球茎甘蓝
ກະວີ	诗人
ກະສວຍອາວະກາດ	航天飞机
ກະສັດ	国王
ກະສັດ	王
ກະສັດຕີ	后
ກະສັດຕີ	女王
ກະສັດຕີ	女皇
ກະສິກອນ	农夫
ກະສິກອນ	农民
ກະສິກຳ	农业
ກະສິກໍາທາງເລືອກ	农业防治
ກະສິກໍາປ່າໄມ້	农地林业
ກະສິກໍາອຸຕຸວິທະຍາ	农业气象学
ກະສິກໍາອຸຕຸວິທະຍາ	大气化学
ກະສິກໍາອຸຕຸວິທະຍາ	大气物理学
ກະສິກໍາອຸຕຸວິທະຍາ	森林气象学
ກະສິກໍາອຸຕຸວິທະຍາ	气象学
ກະສິກໍາອຸຕຸວິທະຍາ	生物气象学
ກະສິກໍາຮອບຕົວເມືອງ	城市周边农业
ກະສິກໍາຮອບຕົວເມືອງ	郊区农业
ກະສິກໍາຮ່ວມມື	共同农作
ກະສິກໍາຮ່ວມມື	协作农业
ກະສິກໍາຮ່ວມມື	私人租地集体耕作制
ກະສິກໍາຮ່ວມມື	集体耕作
ກະສິກໍາເຂດຊານເມືອງ	郊区农业
ກະສິກໍາໃນຕົວເມືອງ	城市农业
ກະຮອກ	松鼠
ກະຮອກ	栗鼠
ກະຮອກ	灰鼠
ກະຮອກດິນ	土拨鼠
ກະຮອກດິນ	地松鼠
ກະຮອກດິນ	松鼠
ກະຮອກດິນ	美国土拨鼠
ກະຮອກດິນ	花栗鼠
ກະເຈາະກະຈອກ	幸福
ກະເຈາະກະຈອກ	快乐
ກະເຈາະກະຈອກ	愉快
ກະເຈາະກະຈອກ	高兴
ກະເທີຍ	两性人
ກະເທີຍ	人妖
ກະເທີຍ	同性
ກະເທີຍ	同性恋
ກະເທີຍ	同性恋者
ກະເທີຍ	泰国变性女性
ກະເທີຍ	阴阳人
ກະເທີຍ	雌雄同体
ກະເທີຽ	两性人
ກະເທີຽ	中性
ກະເທີຽ	人妖
ກະເທີຽ	同性
ກະເທີຽ	同性恋
ກະເທີຽ	性分化紊乱
ກະເທີຽ	泰国变性女性
ກະເທີຽ	阴阳人
ກະເທີຽ	雌雄间性
ກະເບື້ອ	蛾
ກະເປົາ	包
ກະເປົາ	口袋
ກະເປົາ	皮夹
ກະເປົາ	箱笼
ກະເປົາ	行李
ກະເປົາ	袋
ກະເປົາ	钱包
ກະເປົາ	钱袋
ກະເປົາເງິນ	皮夹
ກະເປົາເງິນ	钱包
ກະເປົາເງິນ	钱袋
ກະເປົາໃສ່ເງິນ	钱包
ກະເພາະ	内脏
ກະເພາະ	心
ກະເພາະ	肚
ກະເພາະ	肚子
ກະເພາະ	肝脏
ກະເພາະ	肺
ກະເພາະ	胃
ກະເພາະ	脑
ກະເພາະ	腰子
ກະເພາະ	舌
ກະເພາະທີນຶ່ງຂອງສັດຄ້ຽວເອື້ອງ	瘤胃
ກະເພາະທີສາມຂອງສັດຄ້ຽວເອື້ອງ	瓣胃
ກະເພາະທີ່ສີ່ຂອງສັດຄ້ຽວເອື້ອງ	皱胃
ກະເພາະອາຫານ	胃部
ກະເພາະອາຫານແລະລໍາໃສ້ອັກເສບ	胃肠炎
ກະເພາະຮັງເຜິ້ງຂອງສັດຄ້ຽວເອື້ອງ	网胃
ກະເພາະແທ້ຂອງສັດປີກ	前胃
ກະເລວະຣາ	尸体
ກະເລັນ	松鼠
ກະເລັນ	栗鼠
ກະເລັນ	灰鼠
ກະແຈ	钥匙
ກະແຕ	松鼠
ກະແຕ	栗鼠
ກະແຕ	灰鼠
ກະແສຂໍ້ມູນ	串流
ກະແສຂໍ້ມູນ	流
ກະແສຂໍ້ມູນ	流式传输
ກະແສຂໍ້ມູນ	资料流
ກະແສຂໍ້ມູນຂ່າວສານ	信息扩散
ກະແສຂໍ້ມູນຂ່າວສານ	信息流
ກະແສອາກາດຫນາວ	冷锋
ກະແສອາກາດຫນາວ	暖锋
ກະແສອາກາດຫນາວ	气团
ກະແສອາກາດຫນາວ	气锋
ກະແສໄຟຟ້າ	电子流
ກະແສໄຟຟ້າ	电流
ກະໂຈມ	帐篷
ກະໂມຽ	宵小
ກະໂມຽ	小偷
ກະໂມຽ	盗贼
ກະໂມຽ	窃贼
ກະໂມຽ	贼
ກະໂຫລກ	头盖骨
ກະໂຫລກ	头骨
ກະໂຫລກ	脑壳
ກະໂຫລກ	颅骨
ກະໂຫລ່ງ	壁虎
ກະໂຫຼກຫົວ	头骨
ກະໄນ່	松鼠
ກະໄນ່	栗鼠
ກະໄນ່	灰鼠
ກະໄຫນ່	松鼠
ກະໄຫນ່	栗鼠
ກະໄຫນ່	灰鼠
ກະໄໜ່	松鼠
ກະໄໜ່	栗鼠
ກະໄໜ່	灰鼠
ກັກ	冻结
ກັດ	强
ກັນ	刮
ກັນ	剃
ກັນຊັດ	堪萨斯州
ກັນຍາ	9月
ກັນຍາ	九月
ກັບ	与
ກັບ	和
ກັບ	跟
ກັບຂີດ	火柴
ກັບຄືນ	回来
ກັບຄືນ	回去
ກັບຄືນ	归
ກັບຄືນ	返回
ກັບຄືນສູ່ສະພາບປົກກະຕິ	正则化
ກັບຄືນສູ່ສະພາບປົກກະຕິ	正规化
ກັບບັນຈຸເມັດ	种子箱
ກັບມາ	回来
ກັບມາ	返回
ກັບສະປໍ	孢子囊
ກັບສະປໍ	真菌形态学
ກັບສະປໍ	真菌形态论
ກັບສິນຄ້າ	商人
ກັບເຫລັກໄຟ	打火机
ກັບແກ້	壁虎
ກັບໂກ້	壁虎
ກັບໄປ	回去
ກັບໄປ	返回
ກັບໄຟ	打火机
ກັບໄຟ	火柴
ກັອກໂດບາ(ອາກຊັງຕິນ)	科尔多瓦省
ກັ່ນຕອງ	筛选
ກັ່ນຕອງ	筛选器
ກັ່ນຕອງ	筛选条件
ກັ່ນຕອງ	过滤
ກັ່ນຕອງ	遮罩
ກັ່ນຕອງບໍ່ຜ່ານການເລືອກ	按选定内容排出筛选
ກັ່ນຕອງບໍ່ຜ່ານການເລືອກ	排除选取范围筛选
ກັ່ນຕອງໂດຍການເລືອກ	依选取范围筛选
ກັ່ນຕອງໂດຍການເລືອກ	按选定内容筛选
ກາ	鸦
ກາກະບາດ	交叉
ກາກະບາດ	十字
ກາກະບາດ	十字架
ກາງ	中央
ກາງ	中心
ກາງ	中间
ກາງເກງຂາສັ້ນ	短裤
ກາຈໍ້າ	密封
ກາຈໍ້າ	封装
ກາຊັກສະຖານ	哈萨克斯坦
ກາຊ້ກສະຖານ	哈萨克斯坦
ກາຍ	身体
ກາຍຍະພາບຂອງມະຫາສະມຸດສາດ	物理海洋学
ກາຍຍະວິພາກເນື້ອໄມ້	木材解剖
ກາຍອນ	峡谷
ກາຍອນ	溪谷
ກາຍະວິພາກສາດຂອງສັດ	动物形态学
ກາຍະວິພາກສາດຂອງສັດ	动物结构
ກາຍະວິພາກສາດຂອງສັດ	动物解剖学
ກາດຫໍ່	包心菜
ກາດຫໍ່	卷心菜
ກາດຫໍ່	捲心菜
ກາດຫໍ່	洋白菜
ກາດຫໍ່	高丽菜
ກາຕາ	卡塔尔
ກາຕາ	卡达
ກາຕາລ໋ອກ	目录
ກາຕາລ໋ອກ	资料目录
ກາຕົ້ມນ້ຳ	壶
ກາຕົ້ມນ້ຳ	水壶
ການກວດກາ	检验
ການກວດກາ	质量控制
ການກວດກາການລະບາດຂອງພະຍາດ	卫生监督
ການກວດກາການລະບາດຂອງພະຍາດ	流行病学监控
ການກວດກາການລະບາດຂອງພະຍາດ	疫情报告
ການກວດກາການລະບາດຂອງພະຍາດ	疫情监督
ການກວດກາປາ	渔业监督
ການກວດກາປາ	食品检验
ການກວດກາສຸກຂະອະນາໄມ	卫生监督
ການກວດກາສຸກຂະອະນາໄມ	流行病学监控
ການກວດກາສຸກຂະອະນາໄມ	疫情报告
ການກວດກາສຸກຂະອະນາໄມ	疫情监督
ການກວດສອບການເຮັດວຽກຂອງລະບົບປະສາດ	神经学检查
ການກວດສອບການເຮັດວຽກຂອງອະໄວຍະວະ	机能测试
ການກວດສອບການເຮັດວຽກຂອງອະໄວຍະວະ	疾病诊断
ການກວດສອບການເຮັດວຽກຂອງອະໄວຍະວະ	诊断
ການກວດສອບການເຮັດວຽກຂອງອະໄວຍະວະ(ເພື່ອບົງມະຕິ)	机能测试(诊断)
ການກວດສອບກໍາມະພັນ	dna探针
ການກວດສອບກໍາມະພັນ	rna探针
ການກວດສອບກໍາມະພັນ	基因探针
ການກວດສອບກໍາມະພັນ	核酸探针
ການກວດສອບຄວາມຫຼາກຫຼາຍ	品种试验
ການກວດສອບນິວຄລີອິກ	核酸探针
ການກວດສອບລຸ້ນລູກ	后裔测验
ການກວດສຸຂະພາບທາງນອກອາການທີ່ສະແດງອອກ	临床检查
ການກວດສຸຂະພາບທາງນອກອາການທີ່ສະແດງອອກ	诊断技术
ການກວດເລືອດໃສ່ເພື່ອບົ່ງມະຕິພະຍາດ	免疫诊断
ການກວດເລືອດໃສ່ເພື່ອບົ່ງມະຕິພະຍາດ	血清学诊断
ການກວດເລືອດໃສ່ເພື່ອບົ່ງມະຕິພະຍາດ	血清诊断
ການກະກຽມຈຸລະທີ່ຕັ້ງ	微量整地
ການກະກຽມຈຸລະທີ່ຕັ້ງ	整地
ການກະກຽມທີ່ຕັ້ງ	整地
ການກະຈາຍ	商业布局
ການກະຈາຍ	布局
ການກະຈາຍ	经济布局
ການກະຈາຍການຄົ້ນຄວ້າ	研究推广
ການກະຈາຍທາງການຄ້າ	商业布局
ການກະຈາຍທາງການຄ້າ	布局
ການກະຈາຍທາງການຄ້າ	经济布局
ການກະຕຸກຊຸກຍູ້	动机
ການກະຕຸ້ນ	刺激
ການກະຕຸ້ນຂອງແມງໄມ້	诱发排卵
ການກະຕຸ້ນຂອງແມງໄມ້	诱导产卵
ການກະຕຸ້ນຂອງແມງໄມ້	诱导发情
ການກະຕຸ້ນຂອງແມງໄມ້	鱼卵脱膜
ການກະຕຸ້ນດ້ວຍກະແສໄຟຟ້າ	刺激
ການກະຕຸ້ນດ້ວຍກະແສໄຟຟ້າ	生理刺激
ການກະຕຸ້ນດ້ວຍກະແສໄຟຟ້າ	电刺激
ການກະຕຸ້ນທາງສາລິລິທະຍາ	刺激
ການກະຕຸ້ນທາງສາລິລິທະຍາ	生理刺激
ການກະຕຸ້ນທາງສາລິລິທະຍາ	电刺激
ການກະຕຸ້ນພູມຕ້ານທານແບບບໍ່ສະເພາະ	非特异性免疫刺激
ການກະຕຸ້ນໃຫ້ສ້າງພູມຄຸ້ມກັນຕໍ່ພະຍາດ	免疫刺激
ການກະຕຸ້ນໃຫ້ເກີດການໄຫຼ	诱导哺乳
ການກະຕຸ້ນໃຫ້ເກີດຝົນ	云的催化
ການກະຕຸ້ນໃຫ້ເກີດຝົນ	人工降水
ການກະຕຸ້ນໃຫ້ເກີດຝົນ	诱导降雨
ການກະຕຸ້ນໃຫ້ເກີດພະຫຸສີໂສມ	人工多倍性
ການກະຕຸ້ນໃຫ້ເກີດພະຫຸສີໂສມ	体外多倍体化
ການກະຕຸ້ນໃຫ້ເກີດພະຫຸສີໂສມ	诱导多倍体化
ການກະຕຸ້ນໃຫ້ເກີດພະຫຸສີໂສມ	诱导多倍性
ການກະຕຸ້ນໃຫ້ໄຂ່ຕົກ	诱发排卵
ການກະທໍາ	动作
ການກະທໍາ	操作
ການກະທໍາທີ່ບໍ່ຕົງກັນ	指令引数
ການກະທໍາທີ່ບໍ່ຕົງກັນ	操作参数
ການກະທໍາຮ່ວມກັນ	协同作用
ການກະທໍາຮ່ວມກັນ	增效
ການກະທໍາຮ່ວມກັນ	增效作用
ການກະສິກໍາບໍ່ເຕັມເວລາ	季节性耕作
ການກະສິກໍາພູດອຍ	山地农业
ການກະສິກໍາເຂດແຫ້ງແລ້ງ	旱地农业
ການກະສິກໍາເຕັມເວລາ	专事农作
ການກະສິກໍາແບບຂະຫຍາຍເນື້ອທີ່	粗放农业
ການກະສິກໍາແບບຄົງຊີບ	自给农业
ການກະສິກໍາແບບປານີດ	集约农业
ການກະສິກໍາແບບພື້ນເມືອງ	传统耕作
ການກະສິກໍາແບບມີປະສິດທິຜົນ	集约化
ການກະສິກໍາແບບມີສັນຍາ	合同农业
ການກະສິກໍາໃນໄລຍະປ່ຽນແປງ	过渡农业
ການກັດ	咬伤
ການກັ່ນ	蒸馏
ການກັ່ນຕອງແບບກຣາຟິກ	图形过滤器
ການກັ່ນຕອງແບບກຣາຟິກ	图形筛选工具
ການກັ່ນແຍກ	精流
ການກັ່ນແຍກ	蒸馏
ການກັ່ນແຍກ	蒸馏作用
ການກາຍເປັນທະເລຊາຍ	沙漠化
ການກາຍເປັນທະເລຊາຍ	荒漠化
ການການເຄື່ອນຍ້າຍເລື່ອນ	牵引集木
ການການເຄື່ອນຍ້າຍເລື່ອນ	贮木
ການການເຄື່ອນຍ້າຍເລື່ອນ	集材
ການກາຝາກສູງສຸດ	重寄生物学
ການກິນ	进食
ການກິນ	饲养
ການກິນ	饲喂
ການກິນຍອດໃບ	啃牧
ການກິນສັດອື່ນເປັນອາຫານ	捕食
ການກິນສິນບົນ	腐败
ການກິນສິນບົນ	贪污
ການກິນຫຍ້າຫຼາຍເກີນໄປ	超载放牧
ການກິນເລືອດເປັຍອາຫານ	血液输送
ການກິນເລືອດເປັຍອາຫານ	食血性
ການກິ້ງໃຫ້ແຫ້ງ	滚筒干燥
ການກົດດັນພູມຄຸ້ມກັນ	免疫抑制
ການກົດດັນພູມຄຸ້ມກັນບໍ່ສະເພາະເຈາະຈົງ	人工免疫抑制
ການກົດດັນພູມຄຸ້ມກັນບໍ່ສະເພາະເຈາະຈົງ	人工免疫抑制法
ການກົດດັນພູມຄຸ້ມກັນບໍ່ສະເພາະເຈາະຈົງ	人工免疫耐受性
ການກົດດັນພູມຄຸ້ມກັນບໍ່ສະເພາະເຈາະຈົງ	免疫抑制
ການກົດດັນພູມຄຸ້ມກັນບໍ່ສະເພາະເຈາະຈົງ	免疫脱敏
ການກົດດັນພູມຄຸ້ມກັນບໍ່ສະເພາະເຈາະຈົງ	免疫脱敏作用
ການກົດດັນພູມຄຸ້ມກັນບໍ່ສະເພາະເຈາະຈົງ	特效免疫抑制
ການກົດດັນພູມຄຸ້ມກັນບໍ່ສະເພາະເຈາະຈົງ	继承性免疫耐受性
ການກົດດັນພູມຄຸ້ມກັນບໍ່ສະເພາະເຈາະຈົງ	脱敏
ການກົດດັນພູມຄຸ້ມກັນບໍ່ສະເພາະເຈາະຈົງ	非特异性免疫抑制
ການກົດເສນເລືອດດ້ວຍເຂັມ	压点治疗
ການກົດເສນເລືອດດ້ວຍເຂັມ	电针刺
ການກົດເສນເລືອດດ້ວຍເຂັມ	针刺疗法
ການກົດເສນເລືອດດ້ວຍເຂັມ	针压法
ການກົດເສນເລືອດດ້ວຍເຂັມ	针灸疗法
ການກົດແປ້ນພິມພ້ອມກັນ	按键组合
ການກົດແປ້ນພິມພ້ອມກັນ	组合键
ການກຽມຫນານກ້າແກ່ນ	苗床整地
ການກ່າຍຄືນໃຫມ່ຂອງ	dna基因复制
ການກ່າຍຄືນໃຫມ່ຂອງ	dna复制
ການກ່າຍຄືນໃຫມ່ຂອງ	dna病毒复制
ການກ່າຍດ້ວຍແສງ	扫描
ການກ່າຍຕົວຫນັງສືດ້ວຍແສງ	光学字符识别
