ທີ່ ▁ທີ່
ຂ້າພະເຈົ້າ ▁ຂ້າພະເຈົ້າ
ສາດສະຫນາ ▁ສາດສະຫນາ
ຮັກ ▁ຮັກ
ເວລາ ▁ເວລາ
ລົງ ▁ລົງ
ສ້າງ ▁ສ້າງ
ດຽວ ▁ດຽວ
ພໍ່ ▁ພໍ່
ຕົນ ▁ຕົນ
ເທິງ ▁ເທິງ
ຕອນ ▁ຕອນ
ຕາຍ ▁ຕາຍ
ຫມາຍ ▁ຫມາຍ
ຮຽນ ▁ຮຽນ
ຄໍາພີ ▁ ຄໍາພີ
ແມ່ ▁ແມ່
ວັນ ▁ວັນ
ຮູ້ສຶກ ▁ຮູ້ສຶກ
ນ້ອຍ ▁ນ້ອຍ
ສາ ▁ສາ
ສະຫວັນ ▁ສະຫວັນ
ອາ ▁ອາ
ຈົ່ງ ▁ຈົ່ງ
ບາງ ▁ບາງ
ແຜ່ນດິນ ▁ແຜ່ນດິນ
ສາດ ▁ສາດ
ຕັ້ງ ▁ຕັ້ງ
ກ່ອນ ▁ກ່ອນ
ໄບເບິນ ▁ໄບເບິນ
ຮ່ວມ ▁ຮ່ວມ
ປີ ▁ປີ
ຕິ ▁ຕິ
ຜິດ ▁ຜິດ
ວຽກ ▁ວຽກ
ຫມາກ ▁ຫມາກ
ຊ່ອຍ ▁ຊ່ອຍ
ເມືອງ ▁ເມືອງ
ຊື່ ▁ຊື່
ນ້ອງ ▁ນ້ອງ
ຕາ ▁ຕາ
ຄຸນ ▁ຄຸນ
ມື້ ▁ມື້
ສ່ວນ ▁ສ່ວນ
ເຫຼົ່າ ▁ເຫຼ ົ່າ
ວິທີ ▁ ວິທີ
ຄຣິດ ▁ຄຣິດ
ຢາກ ▁ຢາກ
ບ້ານ ▁ບ້ານ
ສະແດງ ▁ ສະແດງ
ຫມົດ ▁ຫມົດ
ດາ ▁ດາ
ຖາມ ▁ຖາມ
ວິນ ▁ວິນ
ພຣະຜູ້ ▁ພຣະຜູ້
ຫຼັງ ▁ຫຼັງ
ຄວນ ▁ຄວນ
ງານ ▁ງານ
ທີ ▁ທີ
ກະສັດ ▁ກະສັດ
ຫນຸ່ມ ▁ຫນຸ່ມ
ປະຊຸມ ▁ປະຊຸມ
ກໍ່ ▁ກໍ່
ຜົນ ▁ຜົນ
ສໍາຄັນ ▁ສໍາຄັນ
ຈົນ ▁ຈົນ
ສໍາ ▁ສໍາ
ຄອບຄົວ ▁ຄອບຄົວ
ຕົ້ນ ▁ຕົ້ນ
ເຊັ່ນ ▁ ເຊັ່ນ
ມະນຸດ ▁ມະນຸດ
ຊີ ▁ຊີ
ຈັດ ▁ຈັດ
ຫົວ ▁ຫົວ
ລອດ ▁ລອດ
ໄມ້ ▁ໄມ້
ສັດ ▁ສັດ
ເທົ່າ ▁ເທົ່າ
ພຽງ ▁ພຽງ
ຊຶ່ງ ▁ຊຶ່ງ
ຫນາ ▁ຫນາ
ເຫດ ▁ເຫດ
ຟັງ ▁ຟັງ
ເຄີຍ ▁ເຄີຍ
ພຣະອົງ ▁ພຣະອົງ
ບໍ ▁ບໍ
ນອກ ▁ນອກ
ຄືນ ▁ຄືນ
ສັນຍາ ▁ສັນຍາ
ຂໍ້ ▁ຂໍ້
ຫາກ ▁ຫາກ
ແທ້ ▁ແທ້
ອື່ນ ▁ອື່ນ
ເສຍ ▁ເສຍ
ເອີ້ນ ▁ເອີ້ນ
ເທື່ອ ▁ເທື່ອ
ຈໍາ ▁ຈໍາ
ໃຫມ່ ▁ໃຫມ່
ຂຽນ ▁ຂຽນ
ຊາດ ▁ຊາດ
ພັນ ▁ພັນ
ພະລັງ ▁ພະລັງ
ໃສ່ ▁ໃສ່
ພາ ▁ພາ
ສວນ ▁ສວ ນ
ພອນ ▁ພອນ
ອິດ ▁ອິດ
ຮ້າຍ ▁ຮ້າຍ
ຖື ▁ຖື
ນໍ້າ ▁ນໍ້າ
ພ້ອມ ▁ພ້ອມ
ມື ▁ມື
ພາບ ▁ພາບ
ທານ ▁ທານ
ປະກາດ ▁ປະກາດ
ສາວົກ ▁ສາວົກ
ຖານະ ▁ ຖານະ
ຕອບ ▁ຕອບ
ມະ ▁ມະ
ໄຟ ▁ໄຟ
ທໍາມະຊາດ ▁ທໍາມະຊາດ
ເລີ່ມ ▁ເລີ່ມ
ເຫມືອນ ▁ເຫມືອນ
ຕະ ▁ຕະ
ປ່ຽນ ▁ປ່ຽນ
ຜ່ານ ▁ຜ່ານ
ພາຍ ▁ພາຍ
ຍິງ ▁ຍິງ
ຫມູ່ ▁ຫມູ່
ຫ້ອງ ▁ຫ້ອງ
ຫລັງ ▁ຫລັງ
ວິດ ▁ວິດ
ກາຍ ▁ກາຍ
ນີ ▁ນີ
ສະຖານ ▁ສະຖານ
ເຮືອນ ▁ເຮືອນ
ເຕັມ ▁ເຕັມ
ກໍາລັງ ▁ກໍາລັງ
ນັກ ▁ ນັກ
ພົບ ▁ພົບ
ເຫລົ່າ ▁ເຫລົ່າ
ເຊີນ ▁ເຊີນ
ນາ ▁ນາ
ກິນ ▁ກິນ
ຍອມ ▁ຍອມ
ຊົດ ▁ ຊົດ
ສຶກສາ ▁ສຶກສາ
ເຈັບ ▁ ເຈັບ
ເລ ▁ເລ
ຮັກສາ ▁ຮັກສາ
ມາດ ▁ມາດ
ເລີຍ ▁ເລີຍ
ແທ້ໆ ▁ແທ້ໆ
ສົ່ງ ▁ສົ່ງ
ດົນ ▁ດົນ
ກະທໍາ ▁ກະທໍາ
ປະທານ ▁ປະທານ
ບາບ ▁ບາບ
ຈໍາເປັນ ▁ຈໍາເປັນ
ກອງ ▁ກອງ
ຊົ່ວ ▁ ຊົ່ວ
ກະ ▁ກະ
ຍາ ▁ຍາ
ວາງ ▁ວາງ
ພະນັກງານ ▁ພະນັກງານ
ປະຕິບັດ ▁ປະຕິບັດ
ສະໄຫມ ▁ ສະໄຫມ
ນະມັດສະການ ▁ນະມັດສະການ
ສະນັ້ນ ▁ສະນັ້ນ
ສູງ ▁ສູງ
ຊູ ▁ຊູ
ແຮງ ▁ແຮງ
ລາ ▁ລາ
ຮ້ອງ ▁ຮ້ອງ
ພະຍານ ▁ພະຍານ
ຮ່າງກາຍ ▁ຮ່າງກາຍ
ເລືອດ ▁ເລືອດ
ອ້າຍ ▁ອ້າຍ
ໃກ້ ▁ ໃກ້
ຝ່າຍ ▁ຝ່າ ຍ
ສັນ ▁ສັນ
ກາງ ▁ກາງ
ຄົງ ▁ຄົງ
ທົ່ວ ▁ທົ່ວ
ລາຊະອານາຈັກ ▁ລາຊະ ອານາຈັກ
ເຮືອ ▁ເຮືອ
ເຊື້ອ ▁ເຊື້ອ
ຫມັ້ນ ▁ຫມັ້ນ
ຊົນ ▁ຊົນ
ຍາວ ▁ຍາວ
ຕິດ ▁ຕິດ
ບໍລິສຸດ ▁ບໍລິສຸດ
ສະຫງົບ ▁ສະຫງົບ
ທົນ ▁ທົນ
ອໍານາດ ▁ອໍານາດ
ຈຸດ ▁ຈຸດ
ກິດ ▁ກິດ
ລັດ ▁ລັດ
ມອບ ▁ ມອບ
ພີ ▁ພີ
ຂະນະ ▁ຂ ະນະ
ຫລອດ ▁ຫລອດ
ຈັດການ ▁ຈັດ ການ
ອ່ານ ▁ອ່ານ
ຍິ່ງ ▁ຍິ່ງ
ປົກຄອງ ▁ປົກຄອງ
ສາມ ▁ສາມ
ບຸດ ▁ບຸດ
ຕ້ອງການ ▁ ຕ້ອງການ
ອະທິບາຍ ▁ ອະທິບາຍ
ຫົວໃຈ ▁ຫົວໃຈ
ອາຫານ ▁ ອາຫານ
ກວນ ▁ກວນ
ເປີດ ▁ເປີດ
ຫວັນ ▁ຫວັນ
ສຸກ ▁ສຸກ
ເພື່ອນ ▁ເພື່ອນ
ເທດ ▁ເທດ
ສານ ▁ສານ
ສຽງ ▁ສຽງ
ສະມິດ ▁ສະມ ິດ
ມານ ▁ມານ
ວາລະສານ ▁ວາລະສານ
ໃຜ ▁ໃຜ
ປ່ຽນແປງ ▁ ປ່ຽນແປງ
ສັ່ງ ▁ສັ່ງ
ຍ້ອນ ▁ຍ້ອນ
ບັດ ▁ບັດ
ແທນ ▁ແທນ
ຢາ ▁ຢາ
ໂຕ ▁ໂຕ
ສາຍ ▁ ສາຍ
ສັດທາ ▁ສັດທາ
ສິດ ▁ສິດ
ຄັນ ▁ຄັນ
ເນື່ອງ ▁ເນື່ອງ
ມັກ ▁ມັກ
ຢ້ານ ▁ຢ້ານ
ທະ ▁ທະ
ທ້າຍ ▁ທ້າຍ
ເຫລືອ ▁ເຫລືອ
ຈື່ ▁ ຈື່
ຄູ ▁ຄູ
ໄພ ▁ໄພ
ເລືອກ ▁ ເລືອກ
ສາບ ▁ສາບ
ສະມາຄົມ ▁ສະມາຄົມ
ຕັດສິນ ▁ ຕັດສິນ
ສູ່ ▁ ສູ່
ສາວ ▁ສາວ
ພາສາ ▁ ພາສາ
ເຄື່ອງ ▁ເຄື່ອງ
ຂອບ ▁ຂອບ
ປະສົບ ▁ປະສົບ
ຮູ້ຈັກ ▁ຮູ້ຈັກ
ລັກສະນະ ▁ ລັກສ ະນະ
ແຈ້ງ ▁ແຈ້ງ
ຟື້ນ ▁ຟື້ນ
ເພີ່ມ ▁ເພີ່ມ
ລັບ ▁ ລັບ
ເດີນ ▁ເດີນ
ຂ່າວ ▁ຂ່າວ
ລ້ຽງ ▁ລ້ຽງ
ສະບັບ ▁ສະ ບັບ
ລະຫວ່າງ ▁ລະຫວ່າງ
ພໍ ▁ພໍ
ທໍາອິດ ▁ ທໍາອິດ
ໄວ ▁ໄວ
ຕ່າງໆ ▁ຕ່າງໆ
ພີ່ ▁ພີ່
ຄັ້ງ ▁ຄັ້ງ
ອື່ນໆ ▁ອື່ນໆ
ຊີ້ ▁ຊີ້
ຊາຕານ ▁ຊາຕານ
ທິ ▁ທິ
ຕົວຢ່າງ ▁ ຕົວຢ່າງ
ຕຽມ ▁ຕຽມ
ລົບ ▁ ລົບ
ປ້ອງ ▁ປ້ອງ
ເວ ▁ເວ
ພະຍາຍາມ ▁ພະຍາຍາມ
ສະມາຊິກ ▁ສະມາຊິກ
ວິ ▁ວິ
ນະ ▁ນະ
ກອກ ▁ກອກ
ພູເຂົາ ▁ພູເຂົາ
ທ້າວ ▁ທ້າວ
ແປ ▁ແປ
ໂຈເຊັບ ▁ໂຈ ເຊັບ
ໂມ ▁ໂມ
ມາລີ ▁ມາລີ
ປວດ ▁ປວດ
ຮັບໃຊ້ ▁ຮັບໃຊ້
ເອື້ອຍ ▁ເອື້ອຍ
ເຢຊູ ▁ເຢຊູ
ລະວັງ ▁ລະ ວັງ
ສະອາດ ▁ສະອາດ
ເຊົາ ▁ເຊົາ
ຍົກ ▁ ຍົກ
ກົກ ▁ກ ົກ
ທູດ ▁ທູດ
ພາກ ▁ພາກ
ຄລິດ ▁ຄລິດ
ວິຫານ ▁ ວິຫານ
ປາດ ▁ປາດ
ຊອກ ▁ຊອກ
ແຕ່ງ ▁ແຕ່ງ
ສິນ ▁ສິນ
ເພດ ▁ເພດ
ອະ ▁ອະ
ປົກ ▁ປົກ
ຮູບ ▁ ຮູບ
ເຜີຍ ▁ເຜີຍ
ຄົບ ▁ຄົບ
ເລົ່າ ▁ເລົ່າ
ດ້ານ ▁ດ້ານ
ຫວັງ ▁ ຫວັງ
ສົງ ▁ສົງ
ອໍາ ▁ອໍາ
ແຜ່ນ ▁ແຜ່ນ
ກອນ ▁ກອນ
ລີ ▁ລີ
ຫວານ ▁ຫວາ ນ
ເດືອນ ▁ເດືອນ
ກະໂຈມ ▁ກະໂຈມ
ຜູ້ຄົນ ▁ຜູ້ຄົນ
ວິນຍານ ▁ວິນຍານ
ເຫດຜົນ ▁ເຫດຜົນ
ກົດ ▁ກົດ
ຄະນະ ▁ ຄະນະ
ກໍາມະການ ▁ກໍາມະ ການ
ເສົ້າ ▁ເສົ້າ
ຍິນ ▁ຍິນ
ລະບົບ ▁ລະບົບ
ຈັບ ▁ ຈັບ
ອາທິດ ▁ອາທິດ
ໄລຍະ ▁ໄລຍະ
ພ ▁ພ
ຣະ ▁ ຣະ
ບັງ ▁ບັງ
ຫນັກ ▁ຫນັກ
ກຸ່ມ ▁ກຸ່ມ
ມ ▁ມ
ແນະນໍາ ▁ແນະນໍາ
ສົນ ▁ສົນ
ແປງ ▁ ແປງ
ແຂງ ▁ ແຂງ
ອ່ອນ ▁ອ່ອນ
ຄອບ ▁ຄອບ
ດາວິດ ▁ດາ ວິດ
ໂຮງ ▁ໂຮງ
ຊອບ ▁ຊອບ
ບົດ ▁ບົດ
ຍາກ ▁ຍາກ
ກະວົນກະວາຍ ▁ກະວົນກະວາຍ
ລາຍ ▁ລາຍ
ກົດຫມາຍ ▁ກ ົດຫມາຍ
ຕະຫຼອດ ▁ຕະຫຼ ອດ
ກໍາ ▁ກໍາ
ຫນາວ ▁ຫນາວ
ເຈົ້າກໍ ▁ເຈົ້າກໍ
ຄລິດສະຕຽນ ▁ຄລິດສະຕຽນ
ສະລະ ▁ສະລະ
ເຫດການ ▁ເຫດ ການ
ຂ້າງ ▁ຂ້າງ
ອາໄສ ▁ອາໄສ
ບິດາ ▁ ບິດາ
ກົງ ▁ກົງ
ແກະ ▁ແກ ະ
ຂ້າມ ▁ຂ້າມ
ເຢ ▁ເຢ
ເດັກ ▁ເດັກ
ແຜນ ▁ແຜນ
ຕົກ ▁ຕົກ
ຫມໍ ▁ຫມໍ
ວິທະຍາ ▁ວິທະຍາ
ພັນທະ ▁ພັນທະ
ແດ່ ▁ແດ່
ທາ ▁ທາ
ພຣະບິດາ ▁ພຣະບິດາ
ສົບ ▁ ສົບ
ເກີນ ▁ເກີນ
ເຂັ້ມ ▁ເຂັ້ມ
ປະຊາຊົນ ▁ປະຊາຊົນ
ເຈັດ ▁ເ ຈັດ
ທໍາລາຍ ▁ທໍາລາຍ
ແຕກ ▁ແຕກ
ກ້າ ▁ກ້າ
ກະຕຸ້ນ ▁ ກະຕຸ້ນ
ກະລຸນາ ▁ກະລຸນາ
ກະແຈ ▁ ກະແຈ
ສະຫມັກ ▁ສະຫມັກ
ຕັດ ▁ຕັດ
ເຂດ ▁ເຂ ດ
ບຸກຄົນ ▁ບຸກ ຄົນ
ໂສກ ▁ ໂສກ
ນານ ▁ນານ
ໄນ ▁ໄນ
ປ່ອຍ ▁ ປ່ອຍ
ຍ່າງ ▁ ຍ່າງ
ນິລັນດອນ ▁ນິລັນດອນ
ຖານ ▁ຖານ
ນຶ່ງ ▁ນຶ່ງ
ປະສົງ ▁ ປະສົງ
ອັກຄະສາວົກ ▁ ອັກຄະສາວົກ
ເພງ ▁ເພງ
ແດງ ▁ແດງ
ດູ ▁ດູ
ພັດທະນາ ▁ ພັດທະນາ
ຫລັກ ▁ຫລັກ
ຍຸກ ▁ ຍຸກ
ແນ່ນອນ ▁ແນ ່ນອນ
ໃສ ▁ໃສ
ໂຍນ ▁ ໂຍນ
ສາດສະດາ ▁ສາດສະດາ
ນາຍ ▁ນາຍ
ເກົ່າ ▁ເກົ່າ
ຂາດ ▁ຂາດ
ນິດ ▁ນິດ
ແຊ່ງ ▁ແຊ່ງ
ເປັນຄວາມ ▁ເປັນ ຄວາມ
ເສດ ▁ເສດ
ປະໂລຫິດ ▁ປະໂລຫິດ
ຫອກ ▁ຫອກ
ຫລານ ▁ຫລາ ນ
ເຄິ່ງ ▁ເຄິ່ງ
ດໍາລົງ ▁ດໍາລົງ
ດໍາເນີນ ▁ດ ໍາເນີ ນ
ປະຫວັດສາດ ▁ ປະຫວັດສາດ
ສັງເກດ ▁ ສັງເກດ
ຍິນດີ ▁ຍິນ ດີ
ປຶ້ມ ▁ປຶ້ມ
ພະຍາກອນ ▁ ພະຍາກອນ
ເລັກ ▁ເລັກ
ໂທດ ▁ ໂທດ
ເຄາະ ▁ເຄາະ
ຫົກ ▁ຫົກ
ຂ ▁ຂ
ສໍາເລັດ ▁ສໍາເລັດ
ປະໂຫຍດ ▁ປະໂຫຍດ
ລວມ ▁ລວ ມ
ເຕີ ▁ເຕີ
ຈິດ ▁ຈິດ
ຊຸມ ▁ຊຸມ
ລໍ້ ▁ລໍ້
ເຈົ້າບໍ່ ▁ເຈົ້າ ບໍ່
ປິ່ນ ▁ປິ່ນ
ອົດ ▁ອົດ
ຖ່ອມ ▁ຖ່ອມ
ມະຫາ ▁ມະຫາ
ມັດ ▁ມັດ
ບັນ ▁ບັນ
ໄສ ▁ໄສ
ສໍາພັນ ▁ສໍາພັນ
ປະເທດ ▁ປະເທດ
ບັນດາ ▁ບັນດາ
ຖືກຕ້ອງ ▁ຖືກ ຕ້ອງ
ສຶກ ▁ສຶກ
ເຫນືອ ▁ເຫນືອ
ນັ່ງ ▁ນັ່ງ
ເປໂຕ ▁ເປ ໂຕ
ຢືນ ▁ຢືນ
ບັງເກີດ ▁ບັງ ເກີດ
ສີ່ ▁ສີ່
ສິບ ▁ສິບ
ຄົວ ▁ຄົວ
ເລື້ອຍໆ ▁ເລື້ອຍໆ
ຫ້າ ▁ຫ້າ
ງາມ ▁ງາມ
ທັງຫລາຍ ▁ ທັງຫລາຍ
ລໍາ ▁ລໍາ
ບັບຕິ ▁ບັບຕິ
ພວມ ▁ພວ ມ
ເລິກ ▁ເລິກ
ແອວ ▁ ແອວ
ຟູ ▁ຟູ
ລິດເດດ ▁ລິດ ເດ ດ
ຂ້ານ້ອຍ ▁ຂ້າ ນ້ອຍ
ຕ່າງ ▁ຕ່າງ
ສັກສິດ ▁ສັກສິດ
ປາ ▁ປາ
ປະຈໍາ ▁ ປະຈໍາ
ດວງ ▁ດວ ງ
ພິມ ▁ພິມ
ສະຕີ ▁ ສະຕີ
ໄລ ▁ໄລ
ສະຫມອງ ▁ສະຫມອງ
ເຫຼືອ ▁ ເຫຼືອ
ອະທິດຖານ ▁ອະທິດຖານ
ກອງທັບ ▁ກອງ ທັບ
ສູນ ▁ສູນ
ຢິວ ▁ຢິວ
ບັນທຶກ ▁ ບັນທຶກ
ເດິ ▁ເ ດິ
ຖິ້ມ ▁ຖິ້ມ
ຫນ້ອຍ ▁ຫນ້ອຍ
ລູກໆ ▁ລູກໆ
ອາຍຸ ▁ ອາຍຸ
ແນ່ ▁ແນ່
ບາຍ ▁ບາຍ
ສະເຫນີ ▁ ສະເຫນີ
ອ້ອມ ▁ ອ້ອມ
ອັດສະຈັນ ▁ອັດສະຈັນ
ລຶກ ▁ລຶກ
ຕະຫລອດ ▁ຕະຫລ ອດ
ທິດ ▁ທິດ
ແກ້ ▁ແກ້
ອັນຕະລາຍ ▁ອັນຕະລາຍ
ສະພາບ ▁ສະພາບ
ໂປໂລ ▁ໂປໂລ
ພະຍາດ ▁ພະຍາດ
ຈໍານວນ ▁ຈໍານວນ
ຫານ ▁ຫານ
ກາ ▁ກາ
ນ ▁ນ
ດໍາ ▁ດໍາ
ຫນີ ▁ຫນີ
ແກ້ໄຂ ▁ ແກ້ໄຂ
ພຣະກິດ ▁ ພຣະກິດ
ອາດາມ ▁ອາດ າມ
ເອວາ ▁ເອ ວາ
ໂຍຮັນ ▁ໂຍ ຮັນ
ເຕົ້າ ▁ເຕ ົ້າ
ໂຮມ ▁ໂຮ ມ
ທັບ ▁ທັບ
ຊື່ນ ▁ຊື່ນ
ຊົມ ▁ຊົມ
ສູ້ ▁ສູ້
ຫີນ ▁ ຫີນ
ງ່າຍ ▁ງ່າຍ
ໄຂ ▁ໄຂ
ກຽດ ▁ກຽດ
ໄຮ ▁ໄຮ
ສິ້ນ ▁ສິ້ນ
ຕ້ານ ▁ຕ້ານ
ນຶກ ▁ນຶກ
ນາມ ▁ ນາມ
ອາກາດ ▁ ອາກາດ
ຣອນ ▁ຣ ອນ
ເຊ ▁ເຊ
ປອບ ▁ ປອບ
ປັບ ▁ປັບ
ພຣະຄໍາ ▁ ພຣະຄໍາ
ມອນ ▁ມອນ
ກ້ອນ ▁ກ້ອນ
ດິນ ▁ດິນ
ເກັບ ▁ເ ກັບ
ຈົດ ▁ຈົດ
ຄວາມສຸກ ▁ຄວາມສຸກ
ສະເຫມີ ▁ສະເຫມີ
ອະທິຖານ ▁ ອະທິຖານ
ໃຍ ▁ໃ ຍ
ລະດູ ▁ລະ ດູ
ຫາງ ▁ຫາ ງ
ຊັກຄາຍ ▁ຊັກ ຄ າຍ
ເຢຣຶຊາເລມ ▁ເຢຣຶຊາເລມ
ອັບລາຫາມ ▁ອັບລາຫາມ
ສາສະຫນາ ▁ສາສະຫນາ
ຖ້ວນ ▁ຖ້ວນ
ຫນັງສື ▁ ຫນັງສື
ທັນທີ ▁ທັນທີ
ທະເລ ▁ທ ະເລ
ລ ▁ລ
ປວງ ▁ປວງ
ທ້ອງ ▁ທ້ອງ
ຢ່າ ▁ຢ່າ
ລົດ ▁ລົດ
ຍິດສະລາເອນ ▁ຍ ິດສະລາ ເອນ
ປາກ ▁ປາກ
ເອນ ▁ເອນ
ຊົງ ▁ ຊົງ
ໂອ ▁ໂອ
ຄ່າ ▁ຄ່າ
ເວົ້າວ່າ ▁ ເວົ້າວ່າ
ເປົ້າ ▁ເປົ້າ
ຊື່ສັດ ▁ຊື່ສັດ
ເຕີບ ▁ເຕີບ
ຜ່ອນ ▁ຜ່ອນ
ຢຸດ ▁ຢຸດ
ນົກ ▁ນ ົກ
ປະກອບ ▁ ປະກອບ
ທາດ ▁ທາດ
ຊ່າງ ▁ຊ່າງ
ຖ້ອຍ ▁ຖ້ອຍ
ດຶງ ▁ ດຶງ
ຄູ່ ▁ຄູ່
ເສັ້ນ ▁ເສັ້ນ
ຮອບ ▁ຮອບ
ຕີ ▁ຕີ
ຊ່ວງ ▁ ຊ່ວງ
ຊາອຶເລ ▁ຊາອຶເລ
ແຜ່ ▁ແຜ່
ຊະ ▁ຊະ
ນັບ ▁ນັບ
ສະມາ ▁ສະມາ
ລົມ ▁ລົມ
ຟ້າ ▁ຟ້າ
ໄຫວ ▁ໄຫວ
ແລ ▁ແລ
ຮຸ່ງ ▁ຮຸ່ງ
ບິ ▁ບິ
ນິ ▁ນິ
ດອນ ▁ດອນ
ມໍ ▁ມໍ
ເມຍ ▁ເມຍ
ເຫລື້ອມ ▁ເຫລື້ອມ
ຕື່ມ ▁ຕື່ ມ
ປາກົດ ▁ ປາກົດ
ໂບດ ▁ໂບດ
ລອງ ▁ລອງ
ກົວ ▁ກົວ
ພຣະວິຫານ ▁ພຣະວິຫານ
ຄາ ▁ຄາ
ບໍລິຈາກ ▁ບໍລິຈາກ
ກ ▁ກ
ລາມັນ ▁ລາມັນ
ອຸດົມ ▁ ອຸດົມ
ພຣະວິນ ▁ ພຣະວິນ
ຫຼັກຖານ ▁ ຫຼັກຖານ
ສໍານຶກ ▁ສໍາ ນຶກ
ເງິນ ▁ເງິນ
ລ່ຽງ ▁ລ່ຽ ງ
ໂຣ ▁ໂຣ
ທໍ ▁ທໍ
ຄ້າຍ ▁ຄ້າຍ
ລັງ ▁ ລັງ
ວານ ▁ວານ
ຫນຽວ ▁ຫນຽວ
ມູນລະດົກ ▁ມູນລະດົກ
ເສືອ ▁ເສື ອ
ຈ່າຍ ▁ຈ ່າຍ
ສືບ ▁ ສືບ
ພະທໍາ ▁ພະ ທໍາ
ກຣີກ ▁ກຣີກ
